Review,Polarity
"I've read several critical reviews applauding this film, however having sat through it twice I have to point out that this is a very poor film.",Neg
"Shang-Chi gave me hope for Phase 4 of Marvel. Eternals dashed those hopes. This is probably my least favorite Marvel movie. This film is too long and crammed full of overly complicated plot points, yet it's also completely predictable. It seems the filmmakers were too busy trying to check off boxes rather than create a good story. It's also a downer. People watch MCU movies to have fun, not to have existential crises. Perhaps the Eternals should have stood on the sidelines a little longer.",Neg
"Another year, another Marvel Studios superhero movie, right? Well, so it would seem. I had only vaguely heard about ""Eternals"" prior to sitting down to watch it. But then again, superhero movies isn't exactly my primary go-to-movie choice. But yeah, I do watch them if given the chance, as Marvel Studios does churn out movies that are fun enough if for nothing else then for the amazing CGI.",Pos
"The Eternals are immortals created to eliminate the destructive Deviants. 7000 years ago, ten Eternals were sent to Earth. They were able to eliminate the last Deviant 500 years ago and have been waiting to go home ever since.",Neu
"I'm not going to give a long winded review though the movie was long. ""Eternal"" was the runtime. There were parts that were good and parts that weren't. One of the biggest issues is that a movie of this nature presents more questions than it answers. The very existence of eternal beings existing on planet Earth, sent there by their creator in order to protect human life from Deviants, begs a lot of questions. And the more they strayed from their prime directive, the more questions they presented. The eternals were human in every aspect with the exception of their powers and their lifespan. The fact that such humanlike and very fallible beings (as in not entirely obedient) were sent to protect humans is just a start of the questions.",Neg
"Ok but how are they speaking english since they are before the time when english language was spoken? I was extremely disappointed with this movie. The amount of plot holes and wasted potential was really annoying and Sersei had 0 personality. The visuals were amazing but it doesn't make up for the lack of logic put into the movie. The powers were so inconsistent and the prime eternal was just wasted after not even putting up a fight. The deviants were wasted as well and the celestials not telling the eternals why they're on the planet made no sense. Just so many reasons to dislike the execution of the movie. This was a lame movie, there is always a useless hero in every show and Thena was this movies useless hero... How tf you let your man die right in front of you. Thanos IS a Deviant-Eternal. So where's the logic. This movie was completely overrated i'm sorry. This film was the worst mcu film. So boring and the plot was all over the place.",Neg
"The 26th instalment in the Marvel Cinematic Universe marks the arrival of a new brand of superheroes into their ever-growing family and further expands the horizons of its shared universe with its grand scope. However, being one of the lesser-known properties the way Guardians was back in 2014, Eternals needed to create an intrigue & curiosity to make us care & invest in its mythic world but the film as a whole simply falls flat at it.",Neg
"I went in knowing nothing about the source material and not watching a single trailer. I had no expectations for this movie. After watching it, I feel like it had the potential to be incredible. But it wasn't. It wasn't even good. I'm legitimately sad while writing this.",Neg
"Trying to be ""deep"", the director uses some long shots (or longer than usual in the MCU) here and there, less frenetic editing here and there, and less Marvel humor (there is enough though), in a thing that turned to be a really, really bad experiment. Valient effort though?",Neg
"A couple of years ago, there was The Inhumans mini-series, featuring superheroes who lived on the Moon, but were supposedly protecting Earth. Now the Eternals are doing the same thing, with a similar cast of superheroes.",Neu
"And then magic happened, Eternals on Disney streaming. Another entry in the Marvel world. And have seen enough trailers I was ready for it, it looked great but...",Neg
"Chloé Zhao's direction gives Marvel Cinematic Universe a much needed breath of fresh air, but 'Eternals' doesn't quite come together. Despite the fact the film claims to have a far more thought-provoking theme and a plethora of philosophical concepts, it fails to elaborate on them sufficiently to create a more compelling experience. The movie is still magnificent to look but it's pretty much lifeless with boring actors playing boring characters.",Neg
"Eternals had the potential to be a real standout film from the crowd, but it missed out on breaking ranks from its franchise's long-held cliches like 'action scene then funny one-liner' moments that don't feel like character moments anymore, but 'creative mandates' imposed by the studio.",Neg
"I can understand Marvel wanting to expand its universe; all you have to do is look at the dollars to understand it. But, the thing about superheroes, they have to be super beyond their powers. I didn't know anything about these characters and frankly after watching this movie I don't want to know anymore. I thought Justice league and Batman versus Superman were bad. But nothing has been as boring as this movie. It's cheesy and preachy with no interesting characters except Sprite and the Deviant. I think they may need to stop cause superhero overload can cause bad movie making decisions.",Neg
"Following the events of Avengers: Endgame (2019), an unexpected tragedy forces the Eternals, ancient aliens who have been living on Earth in secret for thousands of years, out of the shadows to reunite against mankind's most ancient enemy, the Deviants.",Neu
"Not the greatest ""Marvel"" movie fan yet I gave ""Eternals"" a try even though never really hearing about it or reading the comics, and was not real impressed as the movie went back and fourth thru the ages and time as the group of Eternals were always fighting evil and the movie was a showcase of love and family like feel. It was an eye candy watch for seeing the hot and sexy Gemma Chan and Salma Hayek as immortals Sersi and Ajak as both were healers and watchers of the group. Overall my interest came and went the film for one was to long and drawn out as the message could have been shorter. Still I guess a watch if your a Marvel movie fan, and the look of Gemma Chan and Salma Hayek as superheroes was sexy and impressive.",Neu
"This was almost a dead-even 5/10 star film, but the more I think about it, the less I like it. I HAAAATED some of the incredibly cheap looking CGI. Sure, SOME of it was good, but our main villains, the devil-alien dogs were laughably fake looking and the 1st post-credit scene had this small ""creature"" who was about on par with Super Nintendo graphics. Also, only some of the humor landed, but most felt forced. I did LOVE all the diversity and acting - each actor really tried their best. The plot is okay, but it did drag and shoot, am I tired of hearing excuses when MCU introduces new Super-Human characters who were around for wars, including the Infinity War, and did nothing to help/prevent it. Either you need to reboot everything or make origin stories set in present day only. Finally, I 100% hated the inclusion of a particular reference in regards to comparing the lead male Eternal, Ikaris to another superhero.",Neg
"The whole plot was terrible . They focused all the attention for almost 2 hours on the deviance and all of a sudden it turns out they're not the bad guys after all let's focus 30 minutes of the rest of the movie on someone else.. Marvel failed a great cast with a terrible script. Marvel should separate Eternals film into 2 Parts to have more progressive storyline and deep dive on characterization and the build up of motivation to save the Earth with balanced action sequences and dramas in between... Eternals Book 1 and Eternals Book 2. Just like what Warner did on Dune film.. or Avengers 3 and 4. Worst movie I've seen in years!!!! Worst MCU movie. Hardly any character development, no reason to care about the characters. Outside if him, the comedy was lackluster. Pace was off. Most performances by the actors were good but their stories were not deep enough, hard to do with that many protagonists in one movie. My first thought was why do the people already have british and scottish accent even before they arrive on earth? Like it would make sense if they all spoke similar english when they first arrive on Earth but when they later end up separating and going their own ways they end up developing their british and scottish accent or whatever. Maybe I'm nitpicking it too much but it was literally the first scene in the movie that just broke my immersion immediately.",Neg
"This review has been declined 3 times now. I don't know why, I think it's cos of the real name of Gilgamesh coinciding with an english word.",Neu
"I am not really impressed this Eternals movie .. looks like amature superpower. Boring fight scenes & not really advantures . Well, overall it still can be watch to the end of this movie . 4/10. This film is actually not fiction at all. Worst film ever it's unbelievably terrible. Im shocked how marvel made this crap, bad acting and even worse story line . Powers are as if a school kid thought them up. Pissed !!! Do not waste your money buying it. That was the most boring Marvel movie ive ever watched! The entire movie is huge plot hole. So Celestials need to seed intelligent life to birth their kind but stood by somehow as Thanos wiped out half of life, then came back to completely wipe out the other half and all of existence? I really want to like this movie but it just didn't really work for me. Really feel like this needed to be a miniseries or spread out across multiple movies. Just too much stuff crammed into a 2 hour period. Didn't give me enough time to care about the characters/story that much, and the wonky pacing and acting didn't help with that either. I don't hate the movie, but could've been so much better.",Neg
"Not really sure why this movie got so much hate. It's introducing a swath of new superhero's and doesn't really converge with any other Avengers plot lines save for a few mentions of Thanos, Thor and some other hero's. That job on its own isn't an easy one and I think they did a fantastic job of giving us a new storyline. The shear scale of the movie was well done both in terms of time periods and in general how epic and massive everything felt. Loved the diversity of the characters - every one of them added something to the story. With that being said - and this is coming from just your average Marvel fan with no knowledge of the comics - the Eternals powers all seemed a bit underwhelming. Maybe it's just that they were trying to display how powerful the deviants were but even Ikaris couldn't take down one on his own. Other than that the movie was absolutely beautifully shot - maybe the best looking Marvel movie to date. Again, I'm not sure what the hate is about but I thoroughly enjoyed watching it.",Pos
"This movie felt like 3 movies supercut into one. Pacing was all over the place. Seems a stretch for me to call most of these characters ""super-heroes,"" most seemed remarkably pathetic in their abilities, some of these ""Eternals"" were so easily killed, yet some inexplicably were tanks. Humor was very weak; the best lines were from the trailer and most of those were cringey. Kit Harrington was wasted. Angelina Jolie was wasted. All the major plot points were just exposition vomit or were so obviously telegraphed. I was never so conflicted in a post-credit scene. On one hand I was grateful for this dreadful movie to be over, and then sacked with absolute apathy that the Eternals ""will return...."" I hope not. I was just so so disappointed, wanted to cry this movie frustrates me sm, lore was thrown out the window, it didnt even seem like the eternals (besides the fast girl) could even fight. I was looking forward for this movie to demonstrate how this era of marvel movies is supposed to be on such a vast scale, no longer being about earth alone but the multiverses.",Neg
"The visuals of ""Eternals"" are spectacular. They look very real and very stylish. I also applaud the film for the diversity of the cast. However, the build up of the film is just too slow and too long, and I lost most of my interest and concentration when the final showdown begins. In addition, the one liner jokes are a little out of place and quite contrived. It is still an entertaining film, but probably not as great as the recent Marvel films.",Neu
"The Eternals tries breaking MCU ranks whilst suffering from sequel-teasing and not enough narrative breathing room to let the screenplay really shine through the film's many inconsistencies (be it Icarus' arc and the logic of the alien-super-race as the antagonists). This film claims to be more diverse than the rest of the canon, but it's more of the same action-then-punchline stuff some weary viewers just can't shake off any longer. The formula's starting to show its cracks and can't be used to introduce characters for uninitiated viewers like they did with The Avengers or Spider-Man (characters we now have collective knowledge on).",Neg
A -{ B I G }- Screen Review ; Film Seen TWICE By Me.,Neu
"Maybe finally Marvel has lost its way, after three very bad TV shows we now get this. A dull, lifeless, energy pulling mess of a film. As other have said no chemistry, no decent characters a waste of good actors who have a rubbish and talky script to content with, a grey dull look to the film. It was like wathcing a blank screen, you are seeing something in front of you but it is not saying or doing anything, it certainly not moving you in any way, and the repeated failed attempts at humour. The only thing it does, again in a bad way is tick of all the woke and pc boxes. I thought Wonder Woman 1984 was bad this made that look passable.",Neg
As a huge fan of Sci fi and past Marvel movies and series I can say with a sad heart that since the takeover by Disney and the sad passing of the late legend Stan Lee every production under the Marvel name has been Dreadful and this latest offering is no exception!,Neg
"The fact that 'Eternals (2021)' doesn't feel like a Marvel movie isn't an inherently good or bad thing. To me, it feels more distinct than most of the studio's other fare, but it isn't as entertaining. As a whole, the thing just feels a bit flat. It's messy, overly portentous and filled with some pretty baffling choices. Chief among these is the decision to have one of its characters straight-up disappear from the finale for no real reason, only to rear his head again just before the piece comes to a close. The ending (which includes two post-credits stings) is incredibly disappointing, evoking the exact opposite of its intended effect. There are plenty of other plot problems, too. They pale in comparison to the fact that most of the movie just feels fairly lifeless, though. It's pretty dull, to be honest. That being said, it does have its merits. Firstly, the cast are all really good despite the fact that they don't have much to work with. Ma Dong-Seok (here credited as Don Lee) is the obvious highlight, though he's criminally underused. Secondly, there are a handful of scenes which start to properly explore the interesting concepts inherent to the heroes' long-lasting lifespans. Unsurprisingly, the best of these involve actual conflict between the core characters and portray each player's different outlook on their unique situation. Sadly, most characters lack chemistry with one another and often seem isolated from the other people that share the frame with them. They aren't allowed to properly come to life, which is one of the biggest reasons that the piece just isn't all that compelling; we have nobody to care about. This also means that the movie feels as though it lacks real stakes, even though it's literally the entire Earth that's in danger. Without a character to latch onto, we simply don't give a second thought to the humans our heroes are trying to save. However, the feature is visually pleasing overall. The cinematography is suitably 'epic' and the various locations are presented with bold colours and distinct architecture. There are also a couple of entertaining, if slightly intangible, action sequences. The best of these, which is also the best portion of the entire affair, is a mid-point battle set in a remote village. For the most part, though, even the set-pieces fall short of the mark. Overall, this is a pretty disappointing film. It has a strange structure, a sloppy story and generally just feels a bit off. It's far too long, yet somehow not long enough; it would've been much better served as a mini-series. It has its moments, but it just isn't all that good. 5/10.",Neg
"Is this the best MCU movie yet? Not by a long shot. But they manage to establish the Eternals, Celestial, Eros, Black Knight, and Blade and still make it work.",Pos
"Well, I gave it a shot. Everything bad thing you have heard about this movie is TRUE. You care ZERO about the characters. Its like the writers and director were focusing on.......other things they thought were more important instead of good story telling, a good script, etc...",Neg
Personally 6.5/10,Pos
I personally feel like this movie is very underrated. It's not as jokey or flashy as any of the other Marvel movies but that's kind of why I like it. It felt less like a superhero movie and more like an art film about gods and what it does to your psyche when you live for such a long time on the planet that's not yours.,Pos
"Some will love it some will hate it, whichever category you're in you're lying out your back teeth saying this is either the worst or best MCU movie, at best this movie is a 5, at its worst its a 2,I've opted for the latter simply because this movie fails at pretty much everything it attempts:
story; lacklustre.",Neg
An excellent film that Marvel fans will love! Really enjoy all the characters and fight sequences. The story is really well written and moves at a good pace for being a longer film.,Pos
"Okay, bear with me since this will be a difficult review. I don't particularly think this was ruined by too many characters as Endgame had 31+ characters, but suffered from poor pacing, runtime, and the lack of character development. I have to say that I did not enjoy this film as I am not into mythology stuff. The first and second acts were painfully boring with a bit decent third act. Ajak was given nothing to her character. Sersi. I almost have no idea what to say about her, but her personality should have been interesting. For Ikaris, I was not interested in the romance between him and Sersi. The sex scene wasn't needed at all, although I am surprised that have gotten away from that in a PG-13 movie. He does have a few fun scenes where he speculates a table to be made out of vibranium, slams it which turned out it isn't. ""I don't wear a cape."" Kingo was a decent and fun character that I mostly enjoyed throughout the movie. He had an interesting character setting where he has a fondness for movies and modern technology as he is a famous Bollywood movie star, dancer, and director who has fun with humans. Karun was also a fun presence with great chemistry with Kingo. The stuff about him and filming a documentary was hilarious. For Sprite. Oh my god. I think she has to be my least favorite character in this movie, there isn't anything interesting about her, and she always whines. Phastos was not bad, but a decent character. I have to say that the 1945 scene was mentally heartbreaking commenting on how advancing technology can have brutal consequences. Druig. I do have big mixed feelings about him. He does somewhat have a character arc where he doesn't want the humans to have a conflict so he uses his powers to stop them, but is stopped by the group. Eventually, in the third act, he learns to not interfere with conflicts, but still, I don't like him either way. Makkari wasn't annoying like the others as she has a likable personality, lack of ability to speak. She's fun and has a great dynamic with the team. Also, I liked how they treated her speed ability. Thena does actually have somewhat of an interesting character arc where she can have episodes that make her go rogue against the team which leads her to go with Gilgamesh in order to make anything to not go worse. The scenes of her fighting with her weapons are quite entertaining. Overall, this is just meh.",Neg
"For the first 40 minutes I had no clue what, why, who, where and again what? The characters are written really badly and the story was a drag at times. The VFX was as good as any Marvels film but everything else was so bad that it doesn't deserve a watch especially the casting. Every single lead was bad. I can't digest Salma Hayek. She's the same person, talking like the same character for more than 2 decades with different clothes. Pathetic. Kunal nanjijkdjdhg should stop acting. I don't know if he is being realistic or sarcastic when he opens his mouth. I don't know if that little girl is actually little or a girl. There is no back story for the characters. I haven't read the comics, so I have no clue what I saw. Why not the next film have al chinese actors only because that's where marvels is headed to.",Neg
"This was a movie that when I was behind on watching the Marvel Cinematic Universe had me intrigued to jump in to watch. This was a comic line that I wasn't familiar with. It did look like they used mythology so that pulled my interest. This was a movie that I watched in parts while feeding my newborn daughter, Mackenzie, as well.",Pos
"The longest, boring, woke, PC sermon I have ever watched.",Neg
"Eternals (2021) :
Movie Review -",Neu
It has got to win Best Picture at the Oscars!,Pos
"Spite lived on Earth for thousands of years and speaks Spanish like she just took a middle school Spanish course. The jokes are flat. The acting is stilted. I'm surprised this is a Marvel movie. As WTH?!...Celestials are born out of planets that are populated to a certain point, but couldn't just wipe out the Deviants. It's such a strange choice for a movie plot. It is a bad movie. Such a disappointment.",Neg
"This is ranked as the least critically acclaimed MCU movie ever made and boy, can I see why. Having not liked ""Black Widow"" as much as I thought I would, I can easily say it's still better than this. This movie features the Eternals who were created thousands of years ago to protect the Earth from monsters called the Deviants. Halfway through, it's revealed their creators, the Celestials were planting seeds in the Earth as they must destroy planets to create a new Celestial. A planet must have a certain population before the Celestial seed can grow. Why didn't they intervene when Thanos destroyed half the Universe, seeing as how a reduced population would greatly hinder their plans?",Neg
"....just very different to all the other superhero/comic movies out there. This is not about any random villain fighting against the god guys, the backstory is a metaphor for Creation, god(s) and sacrifice in the form of Transformation. That makes it very different and gives it mich more depth than those other random CGI orgies. Highly recommend!",Pos
"After the events of Infinity War and Endgame, it was hard to see how any Marvel film could match those films' epic scope and stakes, yet in many ways, Eternals does so.",Pos
I was really excited for this movie and went to see this with good expectations but nothing went as expected.,Neg
"I went in with little to no expectations and I was pleasantly surprised by what the movie offered. Multiple relatively unknown new characters and their dynamics, their stories spanning centuries.",Pos
"Convoluted, confusing, all over the place and full of strange and weird creative decisions. 2h30 and it's still feels way undercooked.",Neg
"As a MCU fan, after one hour I was just so disappointed and bored. I couldn't believe someone approved this after all the movies who came before. Was expecting Marvel to have already figured out a formula for making an enjoyable movie for all kind of viewers, but wrong I was.",Neg
"The new MCU film introduces us to the Eternals, a group I knew absolutely nothing about going in... as well as a few other characters that pop up.. one of whom I was more familiar with. This is an interesting film, that opens up a bunch of new storylines for future films.. but the film itself... I feel like it was a bit of a misfire.. which is very rare for Marvel... the film contains a lot of world building stuff to set up the Eternals storyline which requires an awful lot of flashbacks and back story... which hampers the forward momentum of the main story... The cast is decent, Gemma Chan does most of the heavy lifting.. but they really waste Angelina Jolie and especially Salma Hayek in the film. It gets better in the last act but sadly this might be the weakest Marvel film since the MCU started.",Neg
"Who is the target audience, this is like 4hours long and just not interesting. It has too much c.g.i. This has so much going on you just feel like turning off as plot is a mess.",Neg
"Meaning if you're going to tell me character 'XX' doesn't represent character 'XX' in the comics... yeah, I just don't care. Better, I just don't know.",Neg
"This was the most unremarkable superhero movie I've seen. The writing was lazy, sloppy, clunky, convoluted, incoherent, and riddled with plot issues, especially with the dizzying and boring backstories. Aside from some decent S/VFX, there were zero ""wow"" moments. Rarely do I keep checking my watch to see how much more time I have to put up with this nonsense. Even the casting felt out of place, like anyone off the street can be made to look and act as a superhero. Jolie seemed bored. Gemma Chan and Richard Madden were the only convincing performances. Even each Eternal's superpower was lame, and confusing what exactly they can do (except Madden with his X-Men eye power). The one girl was a deaf Flash? It took four to five writers to come up with this slow-paced 156 min Eternally long and boring nonsense? What a waste of a budget. It's a 6/10 from me. Please, no part 2, and if it is a must, eliminate Chloé Zhao and the writers from the equation. Give it to Snyder.",Neg
"Pros:
1. The fight scenes are entertaining, full of action and well choreographed.",Pos
